Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Commerce alimentaire (localisation) 2020
10035;null;B204
100350;null;B204
100351;null;B204
100352;null;B204
100353;null;B204
100354;null;B204
100355;null;B204
100356;null;B200
100357;null;B203
100358;null;B206
100359;null;B206
10036;null;B204
100360;null;B206
100361;null;B203
100362;null;B203
100363;null;B203
100364;null;B100
100365;null;B100
100366;null;B100
100367;null;B200
100368;null;B200
100369;null;B200
10037;null;B204
100370;null;B200
100371;null;B200
100372;null;B200
100373;null;B203
100374;null;B203
100375;null;B203
100376;null;B203
100377;null;B203
100378;null;B203
100379;null;B203
10038;null;B204
100380;null;B203
100381;null;B203
100382;null;B203
100383;null;B203
100384;null;B203
100385;null;B203
100386;null;B200
100387;null;B203
100388;null;B100
100389;null;B203
10039;null;B204
100390;null;B203
100391;null;B203
100392;null;B203
100393;null;B203
100394;null;B204
100395;null;B204
100396;null;B206
100397;null;B206
100398;null;B100
100399;null;B100
1004;null;B200
10040;null;B206
100400;null;B100
100401;null;B100
100402;null;B100
100403;null;B100
100404;null;B200
100405;null;B200
100406;null;B200
100407;null;B200
100408;null;B203
100409;null;B203
10041;null;B100
100410;null;B200
100411;null;B200
100412;null;B200
100413;null;B200
100414;null;B203
100415;null;B203
100416;null;B203
100417;null;B203
100418;null;B203
100419;null;B203
10042;null;B200
100420;null;B203
100421;null;B203
100422;null;B203
100423;null;B203
100424;null;B203
100425;null;B203
100426;null;B203
100427;null;B203
100428;null;B203
100429;null;B203
10043;null;B200
100430;null;B203
100431;null;B203
100432;null;B203
100433;null;B203
100434;null;B203
100435;null;B203
100436;null;B203
100437;null;B203
100438;null;B203
100439;null;B203
10044;null;B100
100440;null;B203
100441;null;B203
100442;null;B100
100443;null;B100
100444;null;B100
100445;null;B200
100446;null;B200
100447;null;B200
100448;null;B203
100449;null;B203
10045;null;B203
100450;null;B203
100451;null;B203
100452;null;B204
100453;null;B204
100454;null;B204
100455;null;B204
100456;null;B204
100457;null;B203
100458;null;B203
100459;null;B203
10046;null;B203
100460;null;B204
100461;null;B204
100462;null;B206
100463;null;B206
100464;null;B100
100465;null;B100
100466;null;B200
100467;null;B200
100468;null;B200
100469;null;B200
10047;null;B203
100470;null;B200
100471;null;B200
100472;null;B200
100473;null;B200
100474;null;B200
100475;null;B200
100476;null;B200
100477;null;B203
100478;null;B203
100479;null;B203
10048;null;B203
100480;null;B203
100481;null;B203
100482;null;B203
100483;null;B203
100484;null;B204
100485;null;B204
100486;null;B204
100487;null;B203
100488;null;B203
100489;null;B203
10049;null;B203
100490;null;B203
100491;null;B203
100492;null;B203
100493;null;B203
100494;null;B204
100495;null;B204
100496;null;B204
100497;null;B204
100498;null;B204
100499;null;B204
1005;null;B203
10050;null;B204
100500;null;B204
100501;null;B204
100502;null;B206
100503;null;B200
100504;null;B203
100505;null;B206
100506;null;B100
100507;null;B200
100508;null;B203
100509;null;B100
10051;null;B100
100510;null;B100
100511;null;B100
100512;null;B100
100513;null;B200
100514;null;B200
100515;null;B203
100516;null;B203
100517;null;B203
100518;null;B203
100519;null;B203
10052;null;B100
100520;null;B203
100521;null;B203
100522;null;B203
100523;null;B203
100524;null;B203
100525;null;B203
100526;null;B203
100527;null;B204
100528;null;B204
100529;null;B204
10053;null;B100
100530;null;B203
100531;null;B204
100532;null;B100
100533;null;B100
100534;null;B200
100535;null;B203
100536;null;B203
100537;null;B203
100538;null;B203
100539;null;B204
10054;null;B100
100540;null;B204
100541;null;B200
100542;null;B200
100543;null;B200
